year_film,year_ceremony,ceremony,category,name,film,winner
1955,1956,28,WRITING (Screenplay),Paddy Chayefsky,Marty,1
1955,1956,28,WRITING (Story and Screenplay),"Milton Sperling, Emmet Lavery",The Court-Martial of Billy Mitchell,0
1955,1956,28,WRITING (Story and Screenplay),"William Ludwig, Sonya Levien",Interrupted Melody,1
1955,1956,28,WRITING (Story and Screenplay),"Betty Comden, Adolph Green",It's Always Fair Weather,0
1955,1956,28,WRITING (Story and Screenplay),"Jacques Tati, Henri Marquet",Mr. Hulot's Holiday,0
1955,1956,28,WRITING (Story and Screenplay),"Melville Shavelson, Jack Rose",The Seven Little Foys,0
1955,1956,28,HONORARY FOREIGN LANGUAGE FILM AWARD, Samurai,,1
1956,1957,29,ACTOR,Yul Brynner,The King and I,1
1956,1957,29,ACTOR,James Dean,Giant,0
1956,1957,29,ACTOR,Kirk Douglas,Lust for Life,0
1956,1957,29,ACTOR,Rock Hudson,Giant,0
1956,1957,29,ACTOR,Sir Laurence Olivier,Richard III,0
1956,1957,29,ACTOR IN A SUPPORTING ROLE,Don Murray,Bus Stop,0
1956,1957,29,ACTOR IN A SUPPORTING ROLE,Anthony Perkins,Friendly Persuasion,0
1956,1957,29,ACTOR IN A SUPPORTING ROLE,Anthony Quinn,Lust for Life,1
1956,1957,29,ACTOR IN A SUPPORTING ROLE,Mickey Rooney,The Bold and the Brave,0
1956,1957,29,ACTOR IN A SUPPORTING ROLE,Robert Stack,Written on the Wind,0
1956,1957,29,ACTRESS,Carroll Baker,Baby Doll,0
1956,1957,29,ACTRESS,Ingrid Bergman,Anastasia,1
1956,1957,29,ACTRESS,Katharine Hepburn,The Rainmaker,0
1956,1957,29,ACTRESS,Nancy Kelly,The Bad Seed,0
1956,1957,29,ACTRESS,Deborah Kerr,The King and I,0
1956,1957,29,ACTRESS IN A SUPPORTING ROLE,Mildred Dunnock,Baby Doll,0
1956,1957,29,ACTRESS IN A SUPPORTING ROLE,Eileen Heckart,The Bad Seed,0
1956,1957,29,ACTRESS IN A SUPPORTING ROLE,Mercedes McCambridge,Giant,0
1956,1957,29,ACTRESS IN A SUPPORTING ROLE,Patty McCormack,The Bad Seed,0
1956,1957,29,ACTRESS IN A SUPPORTING ROLE,Dorothy Malone,Written on the Wind,1
1956,1957,29,ART DIRECTION (Black-and-White),Takashi Matsuyama,The Magnificent Seven,0
1956,1957,29,ART DIRECTION (Black-and-White),"Art Direction:  Hal Pereira, A. Earl Hedrick;  Set Decoration:  Samuel M. Comer, Frank R. McKelvy",The Proud and Profane,0
1956,1957,29,ART DIRECTION (Black-and-White),"Art Direction:  Ross Bellah;  Set Decoration:  William R. Kiernan, Louis Diage",The Solid Gold Cadillac,0
1956,1957,29,ART DIRECTION (Black-and-White),"Art Direction:  Cedric Gibbons, Malcolm F. Brown;  Set Decoration:  Edwin B. Willis, F. Keogh Gleason",Somebody Up There Likes Me,1
1956,1957,29,ART DIRECTION (Black-and-White),"Art Direction:  Lyle R. Wheeler, Jack Martin Smith;  Set Decoration:  Walter M. Scott, Stuart A. Reiss",Teenage Rebel,0
1956,1957,29,ART DIRECTION (Color),"Art Direction:  James W. Sullivan, Ken Adam;  Set Decoration:  Ross J. Dowd",Around the World in 80 Days,0
1956,1957,29,ART DIRECTION (Color),Art Direction:  Boris Leven;  Set Decoration:  Ralph S. Hurst,Giant,0
1956,1957,29,ART DIRECTION (Color),"Art Direction:  Lyle R. Wheeler, John DeCuir;  Set Decoration:  Walter M. Scott, Paul S. Fox",The King and I,1
1956,1957,29,ART DIRECTION (Color),"Art Direction:  Cedric Gibbons, Hans Peters, Preston Ames;  Set Decoration:  Edwin B. Willis, F. Keogh Gleason",Lust for Life,0
1956,1957,29,ART DIRECTION (Color),"Art Direction:  Hal Pereira, Walter H. Tyler, Albert Nozaki;  Set Decoration:  Samuel M. Comer, Ray Moyer",The Ten Commandments,0
1956,1957,29,CINEMATOGRAPHY (Black-and-White),Boris Kaufman,Baby Doll,0
1956,1957,29,CINEMATOGRAPHY (Black-and-White),Hal Rosson,The Bad Seed,0
1956,1957,29,CINEMATOGRAPHY (Black-and-White),Burnett Guffey,The Harder They Fall,0
1956,1957,29,CINEMATOGRAPHY (Black-and-White),Joseph Ruttenberg,Somebody Up There Likes Me,1
1956,1957,29,CINEMATOGRAPHY (Black-and-White),Walter Strenge,Stagecoach to Fury,0
1956,1957,29,CINEMATOGRAPHY (Color),Lionel Lindon,Around the World in 80 Days,1
1956,1957,29,CINEMATOGRAPHY (Color),Harry Stradling,The Eddy Duchin Story,0
1956,1957,29,CINEMATOGRAPHY (Color),Leon Shamroy,The King and I,0
1956,1957,29,CINEMATOGRAPHY (Color),Loyal Griggs,The Ten Commandments,0
1956,1957,29,CINEMATOGRAPHY (Color),Jack Cardiff,War and Peace,0
1956,1957,29,COSTUME DESIGN (Black-and-White),Kohei Ezaki,The Magnificent Seven,0
1956,1957,29,COSTUME DESIGN (Black-and-White),Helen Rose,The Power and the Prize,0
1956,1957,29,COSTUME DESIGN (Black-and-White),Edith Head,The Proud and Profane,0
1956,1957,29,COSTUME DESIGN (Black-and-White),Jean Louis,The Solid Gold Cadillac,1
1956,1957,29,COSTUME DESIGN (Black-and-White),"Charles LeMaire, Mary Wills",Teenage Rebel,0
1956,1957,29,COSTUME DESIGN (Color),Miles White,Around the World in 80 Days,0
1956,1957,29,COSTUME DESIGN (Color),"Moss Mabry, Marjorie Best",Giant,0
1956,1957,29,COSTUME DESIGN (Color),Irene Sharaff,The King and I,1
1956,1957,29,COSTUME DESIGN (Color),"Edith Head, Ralph Jester, John Jensen, Dorothy Jeakins, Arnold Friberg",The Ten Commandments,0
1956,1957,29,COSTUME DESIGN (Color),Marie De Matteis,War and Peace,0
1956,1957,29,DIRECTING,Michael Anderson,Around the World in 80 Days,0
1956,1957,29,DIRECTING,William Wyler,Friendly Persuasion,0
1956,1957,29,DIRECTING,George Stevens,Giant,1
1956,1957,29,DIRECTING,Walter Lang,The King and I,0
1956,1957,29,DIRECTING,King Vidor,War and Peace,0
1956,1957,29,DOCUMENTARY (Feature),"Louis Clyde Stoumen, Producer",The Naked Eye,0
1956,1957,29,DOCUMENTARY (Feature),"Jacques-Yves Cousteau, Producer",The Silent World,1
1956,1957,29,DOCUMENTARY (Feature),The Government Film Committee of Denmark,Where Mountains Float,0
1956,1957,29,DOCUMENTARY (Short Subject),"Charles Guggenheim & Associates, Inc.",A City Decides,0
1956,1957,29,DOCUMENTARY (Short Subject),"John Healy, Producer",The Dark Wave,0
1956,1957,29,DOCUMENTARY (Short Subject),"Valentine Davies, Producer",The House without a Name,0
1956,1957,29,DOCUMENTARY (Short Subject),"Ward Kimball, Producer",Man in Space,0
1956,1957,29,DOCUMENTARY (Short Subject),"Louis Clyde Stoumen, Producer",The 1 Story of the Civil War,1
1956,1957,29,FILM EDITING,"Gene Ruggiero, Paul Weatherwax",Around the World in 80 Days,1
1956,1957,29,FILM EDITING,Merrill G. White,The Brave One,0
1956,1957,29,FILM EDITING,"William Hornbeck, Philip W. Anderson, Fred Bohanan",Giant,0
1956,1957,29,FILM EDITING,Albert Akst,Somebody Up There Likes Me,0
1956,1957,29,FILM EDITING,Anne Bauchens,The Ten Commandments,0
1956,1957,29,FOREIGN LANGUAGE FILM,"Federal Republic of Germany - West; Gyula Trebitsch and Walter Koppel, Producers",The Captain of Kopenick,0
1956,1957,29,FOREIGN LANGUAGE FILM,"France; Annie Dorfmann, Producer",Gervaise,0
1956,1957,29,FOREIGN LANGUAGE FILM,"Japan; Masayuki Takagi, Producer",Harp of Burma,0
1956,1957,29,FOREIGN LANGUAGE FILM,"Italy; Dino De Laurentiis and Carlo Ponti, Producers",La Strada,1
1956,1957,29,FOREIGN LANGUAGE FILM,"Denmark; O. Dalsgaard-Olsen, Producer",Qivitoq,0
1956,1957,29,MUSIC (Music Score of a Dramatic or Comedy Picture),Alfred Newman,Anastasia,0
1956,1957,29,MUSIC (Music Score of a Dramatic or Comedy Picture),Victor Young,Around the World in 80 Days,1
1956,1957,29,MUSIC (Music Score of a Dramatic or Comedy Picture),Hugo Friedhofer,Between Heaven and Hell,0
1956,1957,29,MUSIC (Music Score of a Dramatic or Comedy Picture),Dimitri Tiomkin,Giant,0
1956,1957,29,MUSIC (Music Score of a Dramatic or Comedy Picture),Alex North,The Rainmaker,0
1956,1957,29,MUSIC (Scoring of a Musical Picture),Lionel Newman,The Best Things in Life Are Free,0
1956,1957,29,MUSIC (Scoring of a Musical Picture),"Morris Stoloff, George Duning",The Eddy Duchin Story,0
1956,1957,29,MUSIC (Scoring of a Musical Picture),"Johnny Green, Saul Chaplin",High Society,0
1956,1957,29,MUSIC (Scoring of a Musical Picture),"Alfred Newman, Ken Darby",The King and I,1
1956,1957,29,MUSIC (Scoring of a Musical Picture),"George Stoll, Johnny Green",Meet Me in Las Vegas,0
1956,1957,29,MUSIC (Song),Music by Dimitri Tiomkin; Lyrics by Paul Francis Webster,Friendly Persuasion,0
1956,1957,29,MUSIC (Song),Music by Leith Stevens; Lyrics by Tom Adair,Julie,0
1956,1957,29,MUSIC (Song),Music and Lyrics by Cole Porter,High Society,0
1956,1957,29,MUSIC (Song),Music and Lyrics by Jay Livingston and Ray Evans,The Man Who Knew Too Much,1
1956,1957,29,MUSIC (Song),Music by Victor Young; Lyrics by Sammy Cahn,Written on the Wind,0
1956,1957,29,BEST MOTION PICTURE,"Michael Todd, Producer",Around the World in 80 Days,1
1956,1957,29,BEST MOTION PICTURE,"William Wyler, Producer",Friendly Persuasion,0
1956,1957,29,BEST MOTION PICTURE,"George Stevens and Henry Ginsberg, Producers",Giant,0
1956,1957,29,BEST MOTION PICTURE,"Charles Brackett, Producer",The King and I,0
1956,1957,29,BEST MOTION PICTURE,"Cecil B. DeMille, Producer",The Ten Commandments,0
1956,1957,29,SHORT SUBJECT (Cartoon),"Stephen Bosustow, Producer",Gerald McBoing-Boing on Planet Moo,0
1956,1957,29,SHORT SUBJECT (Cartoon),"Stephen Bosustow, Producer",The Jaywalker,0
1956,1957,29,SHORT SUBJECT (Cartoon),"Stephen Bosustow, Producer",Mister Magoo's Puddle Jumper,1
1956,1957,29,SHORT SUBJECT (One-reel),"Konstantin Kalser, Producer",Crashing the Water Barrier,1
1956,1957,29,SHORT SUBJECT (One-reel),"Robert Youngson, Producer",I Never Forget a Face,0
1956,1957,29,SHORT SUBJECT (One-reel),"Cedric Francis, Producer",Time Stood Still,0
1956,1957,29,SHORT SUBJECT (Two-reel),Romulus Films,The Bespoke Overcoat,1
1956,1957,29,SHORT SUBJECT (Two-reel),"Larry Lansburgh, Producer",Cow Dog,0
1956,1957,29,SHORT SUBJECT (Two-reel),"John Healy, Producer",The Dark Wave,0
1956,1957,29,SHORT SUBJECT (Two-reel),"Walt Disney, Producer",Samoa,0
1956,1957,29,SOUND RECORDING,"King Bros. Productions, Inc., Sound Department, John Myers, Sound Director",The Brave One,0
1956,1957,29,SOUND RECORDING,"Columbia Studio Sound Department, John Livadary, Sound Director",The Eddy Duchin Story,0
1956,1957,29,SOUND RECORDING,"Westrex Sound Services, Inc., Gordon R. Glennan, Sound Director; and Samuel Goldwyn Studio Sound Department, Gordon Sawyer, Sound Director",Friendly Persuasion,0
1956,1957,29,SOUND RECORDING,"20th Century-Fox Studio Sound Department, Carl Faulkner, Sound Director",The King and I,1
1956,1957,29,SOUND RECORDING,"Paramount Studio Sound Department, Loren L. Ryder, Sound Director",The Ten Commandments,0
1956,1957,29,SPECIAL EFFECTS,"A. Arnold Gillespie, Irving Ries, Wesley C. Miller",Forbidden Planet,0
1956,1957,29,SPECIAL EFFECTS,John Fulton,The Ten Commandments,1
1956,1957,29,WRITING (Motion Picture Story),Dalton Trumbo,The Brave One,1
1956,1957,29,WRITING (Motion Picture Story),Leo Katcher,The Eddy Duchin Story,0
1956,1957,29,WRITING (Motion Picture Story),"Edward Bernds, Elwood Ullman",High Society,0
1956,1957,29,WRITING (Motion Picture Story),Jean Paul Sartre,The Proud and the Beautiful,0
1956,1957,29,WRITING (Motion Picture Story),Cesare Zavattini,Umberto D.,0
1956,1957,29,WRITING (Screenplay--Adapted),"James Poe, John Farrow, S.J. Perelman",Around the World in 80 Days,1
1956,1957,29,WRITING (Screenplay--Adapted),Tennessee Williams,Baby Doll,0
1956,1957,29,WRITING (Screenplay--Adapted),Michael Wilson,Friendly Persuasion,0
1956,1957,29,WRITING (Screenplay--Adapted),"Fred Guiol, Ivan Moffat",Giant,0
1956,1957,29,WRITING (Screenplay--Adapted),Norman Corwin,Lust for Life,0
1956,1957,29,WRITING (Screenplay--Original),Robert Lewin,The Bold and the Brave,0
1956,1957,29,WRITING (Screenplay--Original),Andrew L. Stone,Julie,0
1956,1957,29,WRITING (Screenplay--Original),"Federico Fellini, Tullio Pinelli",La Strada,0
1956,1957,29,WRITING (Screenplay--Original),William Rose,The Ladykillers,0
1956,1957,29,WRITING (Screenplay--Original),Albert Lamorisse,The Red Balloon,1
1956,1957,29,JEAN HERSHOLT HUMANITARIAN AWARD,Y. Frank Freeman,,1
1956,1957,29,HONORARY AWARD, Eddie Cantor for distinguished service to the film industry.,,1
1956,1957,29,IRVING G. THALBERG MEMORIAL AWARD,Buddy Adler,,1
1957,1958,30,ACTOR,Marlon Brando,Sayonara,0
1957,1958,30,ACTOR,Anthony Franciosa,A Hatful of Rain,0
1957,1958,30,ACTOR,Alec Guinness,The Bridge on the River Kwai,1
1957,1958,30,ACTOR,Charles Laughton,Witness for the Prosecution,0
1957,1958,30,ACTOR,Anthony Quinn,Wild Is the Wind,0
1957,1958,30,ACTOR IN A SUPPORTING ROLE,Red Buttons,Sayonara,1
1957,1958,30,ACTOR IN A SUPPORTING ROLE,Vittorio De Sica,A Farewell to Arms,0
1957,1958,30,ACTOR IN A SUPPORTING ROLE,Sessue Hayakawa,The Bridge on the River Kwai,0
1957,1958,30,ACTOR IN A SUPPORTING ROLE,Arthur Kennedy,Peyton Place,0
1957,1958,30,ACTOR IN A SUPPORTING ROLE,Russ Tamblyn,Peyton Place,0
1957,1958,30,ACTRESS,Deborah Kerr,"Heaven Knows, Mr. Allison",0
1957,1958,30,ACTRESS,Anna Magnani,Wild Is the Wind,0
1957,1958,30,ACTRESS,Elizabeth Taylor,Raintree County,0
1957,1958,30,ACTRESS,Lana Turner,Peyton Place,0
1957,1958,30,ACTRESS,Joanne Woodward,The Three Faces of Eve,1
1957,1958,30,ACTRESS IN A SUPPORTING ROLE,Carolyn Jones,The Bachelor Party,0
1957,1958,30,ACTRESS IN A SUPPORTING ROLE,Elsa Lanchester,Witness for the Prosecution,0
1957,1958,30,ACTRESS IN A SUPPORTING ROLE,Hope Lange,Peyton Place,0
1957,1958,30,ACTRESS IN A SUPPORTING ROLE,Miyoshi Umeki,Sayonara,1
1957,1958,30,ACTRESS IN A SUPPORTING ROLE,Diane Varsi,Peyton Place,0
1957,1958,30,ART DIRECTION,"Art Direction:  Hal Pereira, George W. Davis;  Set Decoration:  Sam Comer, Ray Moyer",Funny Face,0
1957,1958,30,ART DIRECTION,"Art Direction:  William A. Horning, Gene Allen;  Set Decoration:  Edwin B. Willis, Richard Pefferle",Les Girls,0
1957,1958,30,ART DIRECTION,"Art Direction:  Walter Holscher;  Set Decoration:  William Kiernan, Louis Diage",Pal Joey,0
1957,1958,30,ART DIRECTION,"Art Direction:  William A. Horning, Urie McCleary;  Set Decoration:  Edwin B. Willis, Hugh Hunt",Raintree County,0
1957,1958,30,ART DIRECTION,Art Direction:  Ted Haworth;  Set Decoration:  Robert Priestley,Sayonara,1
1957,1958,30,CINEMATOGRAPHY,Milton Krasner,An Affair to Remember,0
1957,1958,30,CINEMATOGRAPHY,Jack Hildyard,The Bridge on the River Kwai,1
1957,1958,30,CINEMATOGRAPHY,Ray June,Funny Face,0
1957,1958,30,CINEMATOGRAPHY,William Mellor,Peyton Place,0
1957,1958,30,CINEMATOGRAPHY,Ellsworth Fredricks,Sayonara,0
1957,1958,30,COSTUME DESIGN,Charles LeMaire,An Affair to Remember,0
1957,1958,30,COSTUME DESIGN,"Edith Head, Hubert de Givenchy",Funny Face,0
1957,1958,30,COSTUME DESIGN,Orry-Kelly,Les Girls,1
1957,1958,30,COSTUME DESIGN,Jean Louis,Pal Joey,0
1957,1958,30,COSTUME DESIGN,Walter Plunkett,Raintree County,0
1957,1958,30,DIRECTING,David Lean,The Bridge on the River Kwai,1
1957,1958,30,DIRECTING,Mark Robson,Peyton Place,0
1957,1958,30,DIRECTING,Joshua Logan,Sayonara,0
1957,1958,30,DIRECTING,Sidney Lumet,12 Angry Men,0
1957,1958,30,DIRECTING,Billy Wilder,Witness for the Prosecution,0
1957,1958,30,DOCUMENTARY (Feature),"Jerome Hill, Producer",Albert Schweitzer,1
1957,1958,30,DOCUMENTARY (Feature),"Lionel Rogosin, Producer",On the Bowery,0
1957,1958,30,DOCUMENTARY (Feature),"Manuel Barbachano Ponce, Producer",Torero!,0
1957,1958,30,FILM EDITING,Peter Taylor,The Bridge on the River Kwai,1
1957,1958,30,FILM EDITING,Warren Low,Gunfight at the O.K. Corral,0
1957,1958,30,FILM EDITING,"Viola Lawrence, Jerome Thoms",Pal Joey,0
1957,1958,30,FILM EDITING,"Arthur P. Schmidt, Philip W. Anderson",Sayonara,0
1957,1958,30,FILM EDITING,Daniel Mandell,Witness for the Prosecution,0
1957,1958,30,FOREIGN LANGUAGE FILM,West Germany,The Devil Came at Night,0
1957,1958,30,FOREIGN LANGUAGE FILM,France,Gates of Paris,0
1957,1958,30,FOREIGN LANGUAGE FILM,India,Mother India,0
1957,1958,30,FOREIGN LANGUAGE FILM,Italy,The Nights of Cabiria,1
1957,1958,30,FOREIGN LANGUAGE FILM,Norway,Nine Lives,0
1957,1958,30,MUSIC (Scoring),Hugo Friedhofer,An Affair to Remember,0
1957,1958,30,MUSIC (Scoring),Hugo Friedhofer,Boy on a Dolphin,0
1957,1958,30,MUSIC (Scoring),Malcolm Arnold,The Bridge on the River Kwai,1
1957,1958,30,MUSIC (Scoring),Paul Smith,Perri,0
1957,1958,30,MUSIC (Scoring),Johnny Green,Raintree County,0
1957,1958,30,MUSIC (Song),Music by Harry Warren; Lyrics by Harold Adamson and Leo McCarey,An Affair to Remember,0
1957,1958,30,MUSIC (Song),Music by James Van Heusen; Lyrics by Sammy Cahn,The Joker Is Wild,1
1957,1958,30,MUSIC (Song),Music by Sammy Fain; Lyrics by Paul Francis Webster,April Love,0
1957,1958,30,MUSIC (Song),Music and Lyrics by Ray Evans and Jay Livingston,Tammy and the Bachelor,0
1957,1958,30,MUSIC (Song),Music by Dimitri Tiomkin; Lyrics by Ned Washington,Wild Is the Wind,0
1957,1958,30,BEST MOTION PICTURE,"Sam Spiegel, Producer",The Bridge on the River Kwai,1
1957,1958,30,BEST MOTION PICTURE,"Jerry Wald, Producer",Peyton Place,0
1957,1958,30,BEST MOTION PICTURE,"William Goetz, Producer",Sayonara,0
1957,1958,30,BEST MOTION PICTURE,"Henry Fonda and Reginald Rose, Producers",12 Angry Men,0
1957,1958,30,BEST MOTION PICTURE,"Arthur Hornblow, Jr., Producer",Witness for the Prosecution,0
1957,1958,30,SHORT SUBJECT (Cartoon),"Edward Selzer, Producer",Birds Anonymous,1
1957,1958,30,SHORT SUBJECT (Cartoon),"William Hanna and Joseph Barbera, Producers",One Droopy Knight,0
1957,1958,30,SHORT SUBJECT (Cartoon),"Edward Selzer, Producer",Tabasco Road,0
1957,1958,30,SHORT SUBJECT (Cartoon),"Stephen Bosustow, Producer",Trees and Jamaica Daddy,0
1957,1958,30,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",The Truth about Mother Goose,0
1957,1958,30,SHORT SUBJECT (Live Action),"Norman McLaren, Producer",A Chairy Tale,0
1957,1958,30,SHORT SUBJECT (Live Action),"Tom Daly, Producer",City of Gold,0
1957,1958,30,SHORT SUBJECT (Live Action),"James Carr, Producer",Foothold on Antarctica,0
1957,1958,30,SHORT SUBJECT (Live Action),"Ben Sharpsteen, Producer",Portugal,0
1957,1958,30,SHORT SUBJECT (Live Action),"Larry Lansburgh, Producer",The Wetback Hound,1
1957,1958,30,SOUND RECORDING,"Paramount Studio Sound Department, George Dutton, Sound Director",Gunfight at the O.K. Corral,0
1957,1958,30,SOUND RECORDING,"Metro-Goldwyn-Mayer Studio Sound Department, Dr. Wesley C. Miller, Sound Director",Les Girls,0
1957,1958,30,SOUND RECORDING,"Columbia Studio Sound Department, John P. Livadary, Sound Director",Pal Joey,0
1957,1958,30,SOUND RECORDING,"Warner Bros. Studio Sound Department, George Groves, Sound Director",Sayonara,1
1957,1958,30,SOUND RECORDING,"Samuel Goldwyn Studio Sound Department, Gordon E. Sawyer, Sound Director",Witness for the Prosecution,0
1957,1958,30,SPECIAL EFFECTS,Audible Effects by Walter Rossi,The Enemy Below,1
1957,1958,30,SPECIAL EFFECTS,Visual Effects by Louis Lichtenfield,The Spirit of St. Louis,0
1957,1958,30,WRITING (Screenplay--based on material from another medium),"Michael Wilson, Carl Foreman, Pierre Boulle",The Bridge on the River Kwai,1
1957,1958,30,WRITING (Screenplay--based on material from another medium),"John Lee Mahin, John Huston","Heaven Knows, Mr. Allison",0
1957,1958,30,WRITING (Screenplay--based on material from another medium),John Michael Hayes,Peyton Place,0
1957,1958,30,WRITING (Screenplay--based on material from another medium),Paul Osborn,Sayonara,0
1957,1958,30,WRITING (Screenplay--based on material from another medium),Reginald Rose,12 Angry Men,0
1957,1958,30,WRITING (Story and Screenplay--written directly for the screen),George Wells,Designing Woman,1
1957,1958,30,WRITING (Story and Screenplay--written directly for the screen),Leonard Gershe,Funny Face,0
1957,1958,30,WRITING (Story and Screenplay--written directly for the screen),"Story by Ralph Wheelwright;  Screenplay by R. Wright Campbell, Ivan Goff, Ben Roberts",Man of a Thousand Faces,0
1957,1958,30,WRITING (Story and Screenplay--written directly for the screen),"Story by Barney Slater, Joel Kane;  Screenplay by Dudley Nichols",The Tin Star,0
1957,1958,30,WRITING (Story and Screenplay--written directly for the screen),"Story by Federico Fellini, Ennio Flaiano, Tullio Pinelli;  Screenplay by Federico Fellini, Ennio Flaiano",Vitelloni,0
1957,1958,30,JEAN HERSHOLT HUMANITARIAN AWARD,Samuel Goldwyn,,1
1957,1958,30,HONORARY AWARD, Charles Brackett for outstanding service to the Academy.,,1
1957,1958,30,HONORARY AWARD, B.B. Kahane for distinguished service to the motion picture industry.,,1
1957,1958,30,HONORARY AWARD," Gilbert M. (""Broncho Billy"") Anderson",,1
1957,1958,30,HONORARY AWARD, The Society of Motion Picture and Television Engineers for their contributions to the advancement of the motion picture industry.,,1
1958,1959,31,ACTOR,Tony Curtis,The Defiant Ones,0
1958,1959,31,ACTOR,Paul Newman,Cat on a Hot Tin Roof,0
1958,1959,31,ACTOR,David Niven,Separate Tables,1
1958,1959,31,ACTOR,Sidney Poitier,The Defiant Ones,0
1958,1959,31,ACTOR,Spencer Tracy,The Old Man and the Sea,0
1958,1959,31,ACTOR IN A SUPPORTING ROLE,Theodore Bikel,The Defiant Ones,0
1958,1959,31,ACTOR IN A SUPPORTING ROLE,Lee J. Cobb,The Brothers Karamazov,0
1958,1959,31,ACTOR IN A SUPPORTING ROLE,Burl Ives,The Big Country,1
1958,1959,31,ACTOR IN A SUPPORTING ROLE,Arthur Kennedy,Some Came Running,0
1958,1959,31,ACTOR IN A SUPPORTING ROLE,Gig Young,Teacher's Pet,0
1958,1959,31,ACTRESS,Susan Hayward,I Want to Live!,1
1958,1959,31,ACTRESS,Deborah Kerr,Separate Tables,0
1958,1959,31,ACTRESS,Shirley MacLaine,Some Came Running,0
1958,1959,31,ACTRESS,Rosalind Russell,Auntie Mame,0
1958,1959,31,ACTRESS,Elizabeth Taylor,Cat on a Hot Tin Roof,0
1958,1959,31,ACTRESS IN A SUPPORTING ROLE,Peggy Cass,Auntie Mame,0
1958,1959,31,ACTRESS IN A SUPPORTING ROLE,Wendy Hiller,Separate Tables,1
1958,1959,31,ACTRESS IN A SUPPORTING ROLE,Martha Hyer,Some Came Running,0
1958,1959,31,ACTRESS IN A SUPPORTING ROLE,Maureen Stapleton,Lonelyhearts,0
1958,1959,31,ACTRESS IN A SUPPORTING ROLE,Cara Williams,The Defiant Ones,0
1958,1959,31,ART DIRECTION,Art Direction:  Malcolm Bert;  Set Decoration:  George James Hopkins,Auntie Mame,0
1958,1959,31,ART DIRECTION,Art Direction:  Cary Odell;  Set Decoration:  Louis Diage,"Bell, Book and Candle",0
1958,1959,31,ART DIRECTION,"Art Direction:  Lyle R. Wheeler, John DeCuir;  Set Decoration:  Walter M. Scott, Paul S. Fox",A Certain Smile,0
1958,1959,31,ART DIRECTION,"Art Direction:  William A. Horning, Preston Ames;  Set Decoration:  Henry Grace, Keogh Gleason",Gigi,1
1958,1959,31,ART DIRECTION,"Art Direction:  Hal Pereira, Henry Bumstead;  Set Decoration:  Sam Comer, Frank McKelvy",Vertigo,0
1958,1959,31,CINEMATOGRAPHY (Black-and-White),Sam Leavitt,The Defiant Ones,1
1958,1959,31,CINEMATOGRAPHY (Black-and-White),Daniel L. Fapp,Desire under the Elms,0
1958,1959,31,CINEMATOGRAPHY (Black-and-White),Lionel Lindon,I Want to Live!,0
1958,1959,31,CINEMATOGRAPHY (Black-and-White),"Charles Lang, Jr.",Separate Tables,0
1958,1959,31,CINEMATOGRAPHY (Black-and-White),Joe MacDonald,The Young Lions,0
1958,1959,31,CINEMATOGRAPHY (Color),"Harry Stradling, Sr.",Auntie Mame,0
1958,1959,31,CINEMATOGRAPHY (Color),William Daniels,Cat on a Hot Tin Roof,0
1958,1959,31,CINEMATOGRAPHY (Color),Joseph Ruttenberg,Gigi,1
1958,1959,31,CINEMATOGRAPHY (Color),James Wong Howe,The Old Man and the Sea,0
1958,1959,31,CINEMATOGRAPHY (Color),Leon Shamroy,South Pacific,0
1958,1959,31,COSTUME DESIGN,Jean Louis,"Bell, Book and Candle",0
1958,1959,31,COSTUME DESIGN,"Ralph Jester, Edith Head, John Jensen",The Buccaneer,0
1958,1959,31,COSTUME DESIGN,"Charles LeMaire, Mary Wills",A Certain Smile,0
1958,1959,31,COSTUME DESIGN,Cecil Beaton,Gigi,1
1958,1959,31,COSTUME DESIGN,Walter Plunkett,Some Came Running,0
1958,1959,31,DIRECTING,Richard Brooks,Cat on a Hot Tin Roof,0
1958,1959,31,DIRECTING,Stanley Kramer,The Defiant Ones,0
1958,1959,31,DIRECTING,Vincente Minnelli,Gigi,1
1958,1959,31,DIRECTING,Robert Wise,I Want to Live!,0
1958,1959,31,DIRECTING,Mark Robson,The Inn of the Sixth Happiness,0
1958,1959,31,DOCUMENTARY (Feature),"James Carr, Producer",Antarctic Crossing,0
1958,1959,31,DOCUMENTARY (Feature),"Robert Snyder, Producer",The Hidden World,0
1958,1959,31,DOCUMENTARY (Feature),"Nathan Zucker, Producer",Psychiatric Nursing,0
1958,1959,31,DOCUMENTARY (Feature),"Ben Sharpsteen, Producer",White Wilderness,1
1958,1959,31,DOCUMENTARY (Short Subject),"Ben Sharpsteen, Producer",Ama Girls,1
1958,1959,31,DOCUMENTARY (Short Subject),"Kenneth G. Brown, Producer",Employees Only,0
1958,1959,31,DOCUMENTARY (Short Subject),"Ian Ferguson, Producer",Journey into Spring,0
1958,1959,31,DOCUMENTARY (Short Subject),"Tom Daly, Producer",The Living Stone,0
1958,1959,31,DOCUMENTARY (Short Subject),"Thorold Dickinson, Producer",Overture,0
1958,1959,31,FILM EDITING,William Ziegler,Auntie Mame,0
1958,1959,31,FILM EDITING,"William A. Lyon, Al Clark",Cowboy,0
1958,1959,31,FILM EDITING,Frederic Knudtson,The Defiant Ones,0
1958,1959,31,FILM EDITING,Adrienne Fazan,Gigi,1
